"","gene_short_name","value_1","value_2"
"1004","CG7556",88.0165,211.385
"1005","His3.3A",292.896,703.408
"1006","dally",47.9669,115.184
"1007","SmB",217.919,523.061
"1008","Pdfr",23.977,57.5411
"1009","AdamTS-A",2.88185,6.90971
"1010","CG5059",56.2531,134.874
"1011","Obp19d",79.9187,191.58
"1012","stnA",0.991335,2.3753
"1013","CG13321",27.6242,66.1312
"1014","NimB2",10.4144,24.9241
"1015","CG31997",32.9166,78.7322
"1016","CG10131",1.87647,4.482
"1017","CG17768,LSm-4",140.898,335.251
"1018","fus",566.13,1346.61
"1019","CG11841",3.66763,8.71537
"1020","CG8774",1.4039,3.32719
"1021","CR43960,Ten-a",69.0948,163.688
"1022","CG1789",121.498,287.278
"1023","sip3",36.9203,87.2254
"1024","NT5E-2",3.74379,8.84326
"1025","CG34227",92.0689,217.21
"1026","CG42397",19.7471,46.5764
"1027","up",81.941,193.218
"1028","CR45479,ND-B14.5A",438.724,1032.91
"1029","CG9452",1.5223,3.5824
"1030","CG5177",6.47103,15.2243
"1031","Idgf5",0.931084,2.1896
"1032","Mal-A8",5.19149,12.2078
"1033","scrt",16.1845,38.0271
"1034","ringer",3.73314,8.76557
"1035","CG5107",12.2244,28.6909
"1036","oc",0.468783,1.09973
"1037","cer",104.273,244.166
"1038","CG30154",10.9643,25.6684
"1039","RpL23",3195.36,7480.28
"1040","Hsc70-1",1.5845,3.70807
"1041","CG17266",62.801,146.627
"1042","CR45635",2.93618,6.84861
"1043","ana",1.47353,3.43265
"1044","CIA30",76.8138,178.787
"1045","CG11878",4.8592,11.3065
"1046","CG17454",159.04,369.712
"1047","plh",4.8455,11.258
"1048","MFS17",36.2005,84.088
"1049","CG31777",26.3738,61.2363
"1050","Lig4",14.0411,32.5571
"1051","CG9297",4.16137,9.64854
"1052","CG4301",1.49609,3.46746
"1053","CG9664",4.15593,9.6295
"1054","Dad1",313.887,727.241
"1055","Npc2e",49.5433,114.758
"1056","CG11275",26.3928,61.1249
"1057",NA,5.21321,12.0636
"1058","Ih",20.5707,47.5925
"1059","beat-VI",2.10436,4.86737
"1060","mRpS23",110.845,256.338
"1061","tutl",4.8203,11.1462
"1062","Rbp6",19.5726,45.1991
"1063","onecut",1.04734,2.41697
"1064","CG40485",2.79326,6.44458
"1065","CG16779",2.5716,5.93297
"1066","CG15922",128.623,296.719
"1067","CG12402",0.495538,1.14151
"1068","CG15822",0.379682,0.874278
"1069","CG17560,mir-2494",413.755,952.397
"1070","Pkc53E",3.19133,7.33862
"1071",NA,4.10911,9.44657
"1072","CG6123",0.996546,2.29055
"1073","CR45952",20.57,47.2695
"1074","Rbbp5",10.5976,24.3414
"1075",NA,1.84613,4.23827
"1076","GstE13",51.4171,118.037
"1077","CG7275",18.6364,42.7822
"1078","CR46006",2.06135,4.72909
"1079","tex",19.5817,44.9122
"1080","Tsp2A",22.6929,52.0444
"1081","retinin",7.86453,18.0351
"1082","Uch-L5",102.407,234.812
